DateTime,AddedIPs,RemovedIPs
1557630994,138,124
1557632910,108,151
1557634820,121,138
1557636750,306,126
1557638659,166,152
1557640576,168,134
1557642766,1897,133
1557644668,1835,124
1557646824,2242,133
1557648742,1782,443
1557650689,2089,376
1557652580,544,112
1557654500,131,93
1557656449,107,122
1557658374,92,95
1557660267,94,88
1557662176,110,112
1557664118,117,85
1557666048,1140,139
1557667951,2818,99
1557670133,2789,149
1557672044,3877,99
1557673947,1417,796
1557675878,93,77
1557677812,107,85
1557679731,100,99
1557681625,122,90
1557683551,95,119
1557685469,89,107
1557687582,133,117
1557689570,107,133
1557691742,121,111
1557693616,104,156
1557695790,148,167
1557697700,95,200
1557699647,132,94
1557702945,280,178
1557704900,213,125
1557706832,924,163
1557708748,1221,110
1557710659,982,102
1557712578,1014,99
1557714745,1176,124
1557716665,945,93
1557718580,914,83
1557720497,794,104
1557722434,982,146
1557724364,756,156
1557726254,742,130
1557728189,814,571
1557730117,920,1159
1557732032,650,1295
1557733935,324,1424
1557735864,612,1179
1557737767,453,1053
1557739721,400,258
1557741655,309,106
1557743563,86,78
1557745500,70,67
1557747379,73,87
1557749299,90,86
1557751212,83,105
1557753152,88,1895
1557755056,104,2737
1557756999,93,2241
1557758835,94,2781
1557760832,118,202
1557762834,106,104
1557764665,85,96
1557766575,92,123
1557768507,130,117
1557770446,96,101
1557772345,81,95
1557774255,82,87
1557776177,91,294
1557778127,77,420
1557780011,85,248
1557781943,92,118
1557783754,83,88
1557785770,399,93
1557787698,80,130
1557789610,159,259
1557791529,74,155
1557793458,82,1192
1557795381,73,1402
1557797566,94,1226
1557799504,96,1116
1557801394,105,1204
1557803329,87,1045
1557805208,87,1066
1557807133,99,949
1557809083,93,1107
1557811125,103,897
1557813158,106,939
1557815051,84,879
1557816996,459,1035
1557818889,584,522
1557820889,1454,696
1557822736,2052,692
1557824655,2154,720
1557826830,115,855
1557828733,125,159
1557830684,123,96
1557832569,154,93
1557834771,170,122
1557836654,137,100
1557838609,139,95
1557840499,90,126
1557842438,163,139
1557844334,397,116
1557846276,336,125
1557848445,237,118
1557850341,200,118
1557852290,162,101
1557854179,150,154
1557856342,715,159
1557858261,185,89
1557860191,2739,83
1557862091,2790,111
1557864303,3492,92
1557866205,989,87
1557868130,168,96
1557870023,140,92
1557871953,259,382
1557873883,1017,75
1557875800,349,109
1557877727,153,72
1557879639,162,84
1557881568,146,95
1557883459,142,79
1557885372,144,79
1557887301,156,100
1557889245,119,90
1557891153,130,72
1557893089,113,84
1557894985,142,110
1557896934,145,121
1557898842,138,110
1557900777,330,94
1557902657,326,79
1557904604,139,172
1557906506,129,1120
1557908440,200,2678
1557910340,355,3012
1557912268,505,917
1557914194,292,101
1557916119,121,111
1557918061,129,115
1557919941,133,113
1557921862,144,121
1557923784,108,138
1557925727,176,88
1557927616,177,88
1557929556,131,126
1557931463,128,319
1557933403,141,200
1557935339,227,151
1557937240,138,160
1557939153,108,182
1557941058,134,140
1557943004,145,891
1557944908,239,155
1557946851,99,3120
1557948774,117,2818
1557950718,118,2915
1557952585,1819,936
1557954525,3328,148
1557956440,629,127
1557958351,108,218
1557960279,2295,1018
1557962203,3955,352
1557964104,4083,142
1557966015,3498,138
1557967951,1447,135
1557969995,122,142
1557972017,119,115
1557973942,108,130
1557975859,241,105
1557977782,1079,114
1557979696,113,116
1557981640,279,138
1557983543,426,129
1557985457,109,131
1557987408,143,418
1557989305,134,266
1557991479,328,136
1557993396,116,131
1557995325,1405,150
1557997241,2126,485
1557999382,1519,480
1558001567,857,187
1558003483,168,117
1558005375,115,121
1558007321,1552,134
1558009263,3250,106
1558011136,1205,128
1558013056,1049,122
1558015013,1170,124
1558016932,798,116
1558019817,853,177
1558022961,1333,293
1558024824,128,106
1558026734,119,119
1558028653,122,102
1558030584,126,134
1558032493,119,218
1558034410,148,110
1558036339,127,99
1558038254,105,207
1558040194,117,1920
1558042106,293,1143
1558044043,485,179
1558045950,365,433
1558047905,389,4465
1558049772,459,3940
1558051729,420,3657
1558053612,437,2756
1558055562,389,133
1558057449,469,99
1558059374,387,119
1558061304,608,98
1558063207,692,1071
1558065130,755,107
1558067061,137,164
1558068997,120,234
1558070897,130,370
1558072830,140,119
1558074736,108,133
1558076696,508,116
1558078569,265,480
1558080764,493,178
1558082664,113,244
1558084598,110,224
1558086492,92,121
1558088415,106,121
1558090368,117,160
1558092251,86,105
1558094170,105,131
1558096096,98,181
1558098035,120,113
1558099933,105,134
1558101818,134,126
1558103768,110,3161
1558105698,108,1031
1558107783,144,1764
1558109785,174,140
1558111727,126,120
1558113860,107,124
1558115767,243,138
1558117690,95,113
1558120599,470,206
1558122501,89,129
1558124431,111,110
1558126346,404,163
1558128465,1465,323
1558130443,1145,557
1558133833,830,796
1558135797,111,458
1558137888,132,575
1558139789,112,502
1558141719,115,458
1558143862,138,571
1558145787,123,403
1558148187,160,590
1558150097,112,354
1558152268,134,140
1558154420,133,207
1558156585,120,213
1558158523,126,172
1558160455,120,590
1558162545,132,421
1558164490,101,461
1558166444,122,158
1558168340,99,137
1558170291,122,137
1558172180,129,123
1558174113,104,120
1558176022,172,144
1558177949,178,1023
1558179874,116,748
1558181790,105,118
1558183694,135,116
1558185617,119,139
1558187561,145,134
1558189455,131,126
1558191368,242,94
1558193301,607,969
1558195125,702,1316
1558197137,773,979
1558199075,639,685
1558201104,721,1054
1558202917,708,835
