DateTime,Entries,UniqueIPs
1557632915,1744,1744
1557634826,1747,1747
1557636755,1918,1918
1557638664,1911,1911
1557640582,1905,1905
1557642801,1895,1895
1557644732,1949,1949
1557646829,1940,1940
1557648747,1601,1601
1557650694,1319,1319
1557652585,1644,1644
1557654506,1644,1644
1557656455,1644,1644
1557658380,1647,1647
1557660272,1638,1638
1557662181,1632,1632
1557664123,1629,1629
1557666058,1859,1859
1557667958,1860,1860
1557670138,1866,1866
1557672050,1865,1865
1557673952,1864,1864
1557675883,1869,1869
1557677818,1883,1883
1557679737,1889,1889
1557681631,1888,1888
1557683556,1892,1892
1557685475,1896,1896
1557687588,1897,1897
1557689591,1908,1908
1557691749,1916,1916
1557693621,1918,1918
1557695797,1911,1911
1557697706,1667,1667
1557699654,1671,1671
1557702952,2394,2394
1557704906,2592,2592
1557706838,2594,2594
1557708754,2594,2594
1557710665,2593,2593
1557712585,2585,2585
1557714751,2578,2578
1557716746,2569,2569
1557718586,2565,2565
1557720503,2560,2560
1557722440,2501,2501
1557724369,2510,2510
1557726260,2515,2515
1557728195,2531,2531
1557730123,2495,2495
1557732038,2485,2485
1557733941,2541,2541
1557735870,2539,2539
1557737773,2532,2532
1557739726,2190,2190
1557741665,2197,2197
1557743568,2201,2201
1557745517,2202,2202
1557747385,2202,2202
1557749306,2203,2203
1557751218,2208,2208
1557753157,1975,1975
1557755061,1974,1974
1557757005,1968,1968
1557758857,1969,1969
1557760837,1980,1980
1557762839,1971,1971
1557764670,1960,1960
1557766596,1958,1958
1557768513,1950,1950
1557770538,1946,1946
1557772350,1940,1940
1557774268,1937,1937
1557776182,1928,1928
1557778132,1929,1929
1557780017,1917,1917
1557781949,1916,1916
1557783759,1898,1898
1557785776,3009,3009
1557787704,2995,2995
1557789617,2404,2404
1557791534,2405,2405
1557793464,2403,2403
1557795387,2397,2397
1557797571,2388,2388
1557799560,2387,2387
1557801401,2382,2382
1557803335,2387,2387
1557805224,2399,2399
1557807138,2397,2397
1557809089,2395,2395
1557811130,2390,2390
1557813164,2393,2393
1557815056,2384,2384
1557817001,2372,2372
1557818894,2368,2368
1557820913,2356,2356
1557822741,2357,2357
1557824737,2359,2359
1557826836,2353,2353
1557828739,2358,2358
1557830689,2354,2354
1557832574,2354,2354
1557834778,2353,2353
1557836660,2356,2356
1557838614,2355,2355
1557840504,2360,2360
1557842473,2361,2361
1557844340,2547,2547
1557846343,2702,2702
1557848452,2699,2699
1557850346,2705,2705
1557852298,2701,2701
1557854184,2698,2698
1557856348,3968,3968
1557858266,3964,3964
1557860196,4216,4216
1557862099,4220,4220
1557864331,4225,4225
1557866226,4234,4234
