DateTime,AddedIPs,RemovedIPs
1557635300,36,10
1557637256,37,16
1557639139,30,12
1557641071,38,20
1557643217,44,12
1557645135,29,22
1557647082,35,9
1557648975,32,35
1557651163,15,14
1557653056,8,12
1557655006,7,5
1557656916,14,13
1557658916,13,13
1557660739,11,8
1557662710,16,17
1557664586,14,11
1557666501,14,30
1557668439,6,10
1557670348,8,11
1557672256,4,12
1557674441,10,16
1557676360,10,6
1557678288,15,8
1557680176,18,32
1557682106,13,12
1557684998,20,23
1557686898,15,14
1557688759,8,31
1557690732,13,12
1557692679,13,10
1557694582,24,15
1557696503,15,11
1557698667,12,12
1557700593,18,7
1557702958,20,14
1557704911,19,15
1557706860,15,19
1557708759,14,12
1557710670,3,9
1557712592,9,7
1557714756,11,11
1557716772,14,16
1557718598,13,21
1557720508,19,47
1557722445,17,39
1557724374,15,37
1557726265,26,40
1557728201,22,45
1557730128,16,55
1557732043,22,210
1557733946,94,237
1557735875,301,47
1557737778,17,10
1557739732,7,7
1557741682,13,8
1557743573,9,11
1557745524,4,13
1557747389,7,6
1557749311,12,16
1557751222,5,16
1557753162,11,11
1557755066,9,7
1557757010,10,7
1557758863,14,5
1557760843,15,12
1557762847,8,9
1557764676,14,17
1557766603,15,14
1557768524,15,10
1557770575,11,10
1557772597,12,19
1557774530,11,8
1557776415,13,9
1557778592,12,16
1557780497,17,16
1557782451,9,14
1557784334,19,13
1557786267,8,9
1557788201,6,19
1557790092,13,15
1557792058,16,19
1557793937,9,8
1557796127,7,13
1557798056,17,7
1557799954,17,14
1557801857,7,15
1557804061,9,13
1557805937,12,27
1557807862,11,18
1557809787,9,19
1557811731,11,24
1557813700,7,23
1557815557,8,17
1557817553,77,17
1557819640,10,26
1557821540,14,23
1557823748,14,21
1557825675,13,9
1557827557,18,9
1557829460,12,12
1557831418,16,12
1557833299,13,10
1557835258,16,14
1557837161,13,9
1557839080,9,7
1557840991,7,13
1557842925,15,11
1557845083,9,14
1557847005,20,17
1557848934,22,16
1557850841,10,20
1557852796,14,17
1557854658,13,18
1557856616,11,19
1557858506,13,11
1557860528,13,22
1557862378,9,12
1557864340,17,14
1557866231,11,14
1557868141,18,8
1557870034,8,15
1557871964,13,16
1557873894,21,4
1557875826,15,11
1557877738,29,9
1557879650,29,6
1557881595,31,9
1557883470,16,8
1557885382,20,14
1557887312,20,16
1557889381,20,12
1557891394,11,9
1557893575,14,14
1557895495,16,11
1557897404,19,15
1557899306,17,7
1557901244,14,5
1557903159,54,17
1557905088,11,23
1557906976,34,71
1557908893,20,15
1557910838,13,9
1557912740,15,12
1557914729,13,12
1557916586,9,13
1557918532,13,12
1557920442,6,11
1557922344,10,16
1557924258,10,12
1557926175,8,9
1557928110,30,9
1557930047,15,17
1557931937,12,13
1557933912,14,28
1557935775,10,20
1557937692,16,11
1557939678,8,17
1557941565,7,18
1557943501,7,10
1557945400,10,8
1557947325,9,15
1557949240,14,20
1557951179,7,13
1557953079,12,14
1557955004,19,12
1557956927,13,12
1557958843,8,13
1557960759,1480,18
1557962670,1476,19
1557964574,1625,27
1557966500,3240,30
1557968515,365,28
1557970382,14,18
1557972358,16,11
1557974215,8,15
1557976126,7,12
1557978044,10,11
1557979947,6,11
1557981858,9,15
1557984046,10,19
1557985960,8,15
1557987864,50,12
1557989774,76,10
1557991698,88,14
1557993635,21,14
1557995538,159,23
1557997551,17,18
1557999414,19,13
1558001584,19,14
1558003497,25,9
1558005388,18,7
1558007335,15,12
1558009297,14,2
1558011151,14,10
1558013070,25,14
1558015029,20,30
1558016946,12,18
1558018920,14,14
1558021019,10,14
1558022975,18,17
1558024838,17,11
1558026749,18,9
1558028667,17,10
1558030598,16,7
1558032509,14,10
1558034424,9,8
1558036353,19,6
1558038268,18,13
1558040209,11,9
1558042119,13,12
1558044063,19,12
1558045963,12,163
1558047931,10,1966
1558049788,14,1350
1558051742,11,2074
1558053627,9,2628
1558055575,7,7
1558057462,13,14
1558059386,15,13
1558061317,12,6
1558063222,8,5
1558065144,7,10
1558067074,13,8
1558069025,15,12
1558070910,13,5
1558072950,14,8
1558074980,16,13
1558077142,15,18
1558079052,10,366
1558080988,366,13
1558082896,20,9
1558084811,11,11
1558086765,14,23
1558088651,7,10
1558090571,9,16
1558092528,7,5
1558094498,11,14
1558096367,9,16
1558098336,21,14
1558100218,13,25
1558102135,9,16
1558104041,7,9
1558105935,10,11
1558107794,14,10
1558109796,11,16
1558111737,7,9
1558113871,8,16
1558115780,12,18
1558117702,10,19
1558119732,10,15
1558121546,11,10
1558123735,8,21
1558125619,4,18
1558127557,7,7
1558129459,9,23
1558131507,10,15
1558133844,11,18
1558135812,9,13
1558137904,9,22
1558139800,7,11
1558141742,11,5
1558143874,9,13
1558145816,6,18
1558148198,11,22
1558150109,13,12
1558152291,12,12
1558154431,9,18
1558156599,7,82
1558158551,15,22
1558160471,8,196
1558162557,13,28
1558164502,13,16
1558166577,20,23
1558168596,11,27
1558170493,16,20
1558172418,5,20
1558174343,10,19
1558176279,24,13
1558178176,8,9
1558180094,5,7
1558182040,15,10
1558183966,11,27
1558185855,11,17
1558187773,8,9
1558189736,10,5
1558191706,10,9
1558193537,8,153
1558195533,9,7
1558197403,12,15
1558199561,10,10
1558201455,12,9
1558203384,5,9
1558205544,17,14
1558207456,8,11
1558209388,13,7
1558211298,9,6
1558213310,10,4
1558215151,15,8
1558217062,10,14
1558219005,11,7
