DateTime,Entries,UniqueIPs
1557578458,221,221
1557580356,222,222
1557582265,223,223
1557584196,225,225
1557586107,220,220
1557588025,219,219
1557590076,218,218
1557592098,220,220
1557594377,223,223
1557596213,224,224
1557598113,239,239
1557600274,240,240
1557602210,240,240
1557604145,249,249
1557606043,248,248
1557607949,247,247
1557609888,246,246
1557611788,244,244
1557613725,245,245
1557615779,248,248
1557617791,248,248
1557619700,240,240
1557621624,241,241
1557623803,241,241
1557625726,241,241
1557627619,240,240
1557629547,219,219
1557631482,216,216
1557633403,213,213
1557635304,211,211
1557637327,207,207
1557639145,208,208
1557641081,231,231
1557643220,392,392
1557645138,391,391
1557647085,390,390
1557648985,386,386
1557651166,384,384
1557653060,381,381
1557655010,385,385
1557656935,386,386
1557658923,386,386
1557662713,387,387
1557664593,385,385
1557666505,971,971
1557668442,3464,3464
1557670351,5681,5681
1557672260,8455,8455
1557674460,8819,8819
1557678292,8812,8812
1557680186,8814,8814
1557682117,8810,8810
1557684080,8812,8812
1557685987,8813,8813
1557687932,8814,8814
1557690053,8816,8816
1557692210,8815,8815
1557694122,8814,8814
1557696062,8816,8816
1557697939,8816,8816
1557699857,8832,8832
1557702962,8836,8836
1557704915,8834,8834
1557708763,8834,8834
1557716778,8834,8834
1557720512,8836,8836
1557722452,8840,8840
1557724378,8837,8837
1557726269,8841,8841
1557728205,8756,8756
1557730131,8755,8755
1557732047,8753,8753
1557735879,8754,8754
1557737801,8756,8756
1557739736,8759,8759
1557741695,8757,8757
1557743577,8753,8753
1557745529,8751,8751
1557747393,8755,8755
1557749315,8755,8755
1557751226,8756,8756
1557753165,7938,7938
1557755069,5357,5357
1557757013,3157,3157
1557758869,377,377
1557760850,316,316
1557762850,320,320
1557764679,321,321
1557766613,321,321
1557768534,323,323
1557770579,325,325
1557772600,328,328
1557774549,328,328
1557776418,226,226
1557778601,228,228
1557780501,231,231
1557782454,225,225
1557784337,222,222
1557786278,223,223
1557788204,223,223
1557790095,221,221
1557792071,223,223
1557793941,223,223
1557796130,223,223
1557798060,226,226
1557799966,227,227
1557801860,233,233
1557804065,234,234
1557805940,234,234
1557807865,233,233
1557809790,229,229
1557811734,226,226
1557813726,224,224
1557815563,227,227
1557817556,235,235
1557819643,240,240
1557821543,239,239
1557823761,240,240
1557825679,239,239
1557827560,241,241
1557829463,245,245
1557831422,247,247
1557833302,246,246
1557835261,245,245
1557837164,245,245
1557839092,246,246
1557840994,246,246
1557842928,249,249
1557845086,248,248
1557847008,248,248
1557848937,249,249
1557850844,251,251
1557852799,248,248
1557854661,248,248
1557856619,250,250
1557858512,249,249
1557860543,2092,2092
1557862389,4895,4895
1557864344,7823,7823
1557866235,8711,8711
1557868147,8708,8708
1557870038,8709,8709
1557871968,8710,8710
1557873897,8709,8709
1557875834,8709,8709
1557877742,8708,8708
1557879657,8709,8709
1557881599,8706,8706
1557883474,8708,8708
1557885386,8707,8707
1557887315,8703,8703
1557889392,8700,8700
1557891398,8701,8701
1557893590,8705,8705
1557895499,8704,8704
1557897414,8702,8702
1557899316,8702,8702
1557901254,8701,8701
1557903162,8696,8696
1557905093,8693,8693
1557906980,8688,8688
1557908912,8690,8690
1557910854,8686,8686
1557912744,8683,8683
1557914754,8682,8682
1557916596,8681,8681
1557918535,8683,8683
1557920446,8681,8681
1557922347,8682,8682
1557924262,8685,8685
1557926194,8686,8686
1557928114,8688,8688
1557930057,8689,8689
1557931941,8689,8689
1557933917,8691,8691
1557935779,8690,8690
1557937696,8689,8689
1557939730,8691,8691
1557941568,8690,8690
1557943506,8686,8686
1557945414,8508,8508
1557947335,6338,6338
1557949246,3426,3426
1557951190,213,213
1557953082,212,212
1557955009,213,213
1557956936,211,211
1557958845,212,212
1557960762,211,211
1557962673,208,208
1557964577,205,205
1557966527,206,206
1557970393,204,204
1557972362,205,205
1557974218,198,198
1557976129,200,200
1557979950,200,200
1557981861,199,199
1557984052,200,200
1557985963,201,201
1557987867,207,207
1557989780,208,208
1557991702,207,207
1557993641,204,204
1557995544,202,202
1557997566,203,203
1557999428,200,200
1558001598,197,197
1558003503,196,196
1558005392,197,197
1558007338,195,195
1558009301,196,196
1558011155,195,195
1558013074,194,194
1558015040,194,194
1558016953,195,195
1558018951,189,189
1558021023,175,175
1558022980,172,172
1558024841,173,173
1558026755,170,170
1558028671,171,171
1558030610,168,168
1558032523,169,169
1558034428,167,167
1558036359,165,165
1558038274,166,166
1558040213,165,165
1558042123,168,168
1558044092,169,169
1558045967,169,169
1558047939,173,173
1558049799,176,176
1558051745,173,173
1558053636,174,174
1558055578,171,171
1558057465,170,170
1558059389,169,169
1558061320,171,171
1558063232,171,171
1558065154,178,178
1558067078,177,177
1558069031,181,181
1558070913,183,183
1558072958,182,182
1558074984,177,177
1558077146,176,176
1558079059,177,177
1558080991,178,178
1558082899,173,173
1558084814,173,173
1558086769,174,174
1558088654,173,173
1558090581,172,172
1558092532,174,174
1558094509,173,173
1558096370,174,174
1558098366,177,177
1558100221,176,176
1558102139,176,176
1558104044,178,178
1558107797,186,186
1558109799,237,237
1558111741,254,254
1558113874,254,254
1558115783,271,271
1558117705,272,272
1558119735,272,272
