DateTime,AddedIPs,RemovedIPs
1557633404,5,7
1557635308,8,3
1557637355,8,9
1557639371,5,5
1557641295,5,7
1557643222,7,9
1557645139,5,7
1557647087,4,2
1557648987,2,6
1557651168,6,4
1557653061,2,3
1557655012,6,10
1557656937,4,3
1557658926,6,1
1557660743,8,5
1557662715,3,8
1557664595,0,4
1557666506,2,5
1557668444,3,4
1557670353,2,3
1557672261,2,2
1557674462,8,2
1557676390,6,2
1557678293,8,2
1557680187,7,7
1557682118,4,3
1557684086,7,6
1557685989,3,4
1557687934,6,5
1557690070,3,5
1557692211,4,3
1557694123,7,4
1557696064,5,5
1557697940,4,6
1557699859,6,3
1557702972,7,12
1557704916,1,15
1557706866,1,2
1557708764,6,5
1557710675,1,5
1557712603,6,5
1557714761,4,4
1557716781,4,5
1557718609,3,4
1557720514,3,4
1557722455,2,9
1557724380,2,6
1557726271,3,5
1557728206,5,6
1557730133,2,6
1557732048,4,6
1557733951,4,3
1557735880,1,4
1557737802,4,3
1557739738,4,2
1557741699,5,6
1557743578,1,5
1557745531,3,5
1557747394,2,8
1557749316,6,3
1557751228,3,0
1557753167,8,2
1557755086,9,3
1557757015,2,3
1557758870,6,2
1557760851,7,7
1557762852,3,7
1557764680,8,7
1557766627,4,7
1557768535,4,4
1557770583,4,7
1557772601,3,3
1557774550,1,6
1557776420,7,3
1557778603,4,4
1557780502,7,7
1557782455,11,5
1557784339,4,4
1557786279,3,7
1557788206,2,4
1557790096,5,2
1557792073,2,2
1557793942,4,1
1557796131,5,6
1557798061,3,2
1557799968,7,7
1557801861,6,3
1557804067,4,3
1557805941,3,4
1557807866,1,2
1557809791,6,3
1557811735,4,2
1557813728,1,3
1557815564,2,4
1557817558,6,2
1557819644,6,6
1557821544,2,2
1557823764,2,3
1557825681,5,4
1557827561,6,5
1557829464,4,2
1557831424,3,2
1557833303,1,3
1557835283,3,3
1557837166,2,6
1557839119,5,7
1557840995,2,7
1557842930,2,5
1557845087,3,4
1557847010,1,7
1557848938,4,4
1557850846,2,8
1557852801,4,3
1557854663,1,4
1557856621,5,5
1557858513,3,2
1557860551,6,1
1557862390,6,7
1557864346,2,4
1557866236,1,6
1557868148,10,6
1557870039,7,10
1557871969,3,4
1557873899,2,1
1557875836,9,6
1557877743,5,2
1557879659,5,0
1557881600,0,9
1557883476,2,1
1557885387,5,4
1557887317,5,10
1557889394,1,4
1557891399,5,4
1557893591,3,0
1557895501,7,6
1557897416,3,2
1557899317,7,4
1557901256,7,1
1557903174,6,6
1557905094,3,4
1557906981,9,5
1557908914,8,1
1557910896,7,4
1557912745,9,5
1557914756,7,4
1557916597,5,5
1557918537,4,1
1557920447,7,2
1557922349,2,2
1557924263,0,4
1557926195,3,4
1557928115,3,2
1557930059,3,2
