DateTime,Entries,UniqueIPs
1557629552,6912,6912
1557631488,6912,6912
1557633407,6891,6891
1557635312,6872,6872
1557637367,6869,6869
1557639375,6884,6884
1557641300,7001,7001
1557643226,8892,8892
1557645142,10590,10590
1557647090,12592,12592
1557648990,14324,14324
1557651172,16346,16346
1557653065,16347,16347
1557655015,16364,16364
1557656941,16353,16353
1557658931,16353,16353
1557660747,16362,16362
1557662720,16368,16368
1557664600,16383,16383
1557666510,16893,16893
1557668448,17219,17219
1557670357,17628,17628
1557672265,18974,18974
1557674466,19397,19397
1557676394,19399,19399
1557678297,19393,19393
1557680192,19404,19404
1557682123,19410,19410
1557684090,19407,19407
1557686006,19414,19414
1557687939,19448,19448
1557690075,19470,19470
1557692231,19449,19449
1557694128,19406,19406
1557696068,19388,19388
1557697945,19386,19386
1557699863,19395,19395
1557702976,19420,19420
1557704921,19438,19438
1557706871,20281,20281
1557708768,21416,21416
1557710680,22312,22312
1557712615,23279,23279
1557714766,24348,24348
1557716786,25250,25250
1557718613,26092,26092
1557720518,26803,26803
1557722459,27703,27703
1557724383,28342,28342
1557726275,28992,28992
1557728211,29397,29397
1557730137,29186,29186
1557732052,28723,28723
1557733955,27739,27739
1557735885,26917,26917
1557737807,26301,26301
1557739742,26619,26619
1557741731,26846,26846
1557743583,26851,26851
1557745537,26840,26840
1557747399,26821,26821
1557749322,26820,26820
1557751232,26799,26799
1557753171,26065,26065
1557755090,25943,25943
1557757019,25928,25928
1557758875,25912,25912
1557760855,25911,25911
1557762856,25921,25921
1557764684,25926,25926
1557766639,25929,25929
1557768548,25955,25955
1557770601,25961,25961
1557772607,25958,25958
1557774555,25950,25950
1557776424,25808,25808
1557778615,25366,25366
1557780506,25337,25337
1557782460,25330,25330
1557784343,25325,25325
1557786291,25308,25308
1557788210,25280,25280
1557790100,25281,25281
1557792093,24875,24875
1557793946,23655,23655
1557796135,22329,22329
1557798065,21245,21245
1557799981,20171,20171
1557801865,19097,19097
1557804071,17902,17902
1557805945,16957,16957
1557807870,16116,16116
1557809795,15132,15132
1557811739,14343,14343
1557813733,13529,13529
1557815568,12712,12712
1557817563,12025,12025
1557819648,12344,12344
1557821548,13371,13371
1557823768,15343,15343
1557825685,15625,15625
1557827565,15157,15157
1557829468,15157,15157
1557831428,15164,15164
1557833307,15227,15227
1557835298,15228,15228
1557837169,15248,15248
1557839142,15242,15242
1557840999,15248,15248
1557842934,15244,15244
1557845091,15272,15272
1557847013,15296,15296
1557848943,15296,15296
1557850849,15286,15286
1557852804,15304,15304
1557854666,15237,15237
1557856624,15235,15235
1557858531,15264,15264
1557860555,16171,16171
1557862394,16169,16169
1557864350,16173,16173
1557866240,16182,16182
1557868152,16184,16184
1557870043,16213,16213
1557871973,16370,16370
1557873903,17287,17287
1557875840,17460,17460
1557877748,17472,17472
1557879663,17473,17473
1557881604,17468,17468
1557883480,17474,17474
1557885391,17483,17483
1557887321,17480,17480
1557889398,17488,17488
1557891403,17489,17489
1557893595,17482,17482
1557895506,17476,17476
1557897421,17433,17433
1557899322,17432,17432
1557901278,17426,17426
1557903178,17425,17425
1557905098,17437,17437
1557906985,15698,15698
1557908918,12702,12702
1557910948,9340,9340
1557912748,9356,9356
1557914759,9357,9357
1557916601,9364,9364
1557918540,9353,9353
1557920450,9370,9370
1557922352,9358,9358
1557924266,9373,9373
1557926199,9429,9429
1557928119,9454,9454
1557930063,9488,9488
1557931945,9478,9478
1557933923,9475,9475
1557935783,9480,9480
1557937701,9479,9479
1557939745,9416,9416
1557941573,9427,9427
1557943542,9450,9450
1557945418,9263,9263
1557947340,8551,8551
1557949250,8543,8543
1557951195,8546,8546
1557953087,8551,8551
1557955013,8537,8537
1557956941,8535,8535
1557958848,8088,8088
1557960767,6565,6565
1557962678,6564,6564
1557964582,6568,6568
1557966532,6568,6568
1557968607,6563,6563
1557970861,6573,6573
1557972780,6601,6601
1557974664,6591,6591
1557976615,8408,8408
1557978510,8413,8413
1557980451,8417,8417
1557982337,8402,8402
1557984262,8402,8402
1557986184,8379,8379
1557988120,8389,8389
1557991013,8403,8403
1557993169,8420,8420
