DateTime,AddedIPs,RemovedIPs
1557629553,42,30
1557631490,34,19
1557633409,28,28
1557635314,31,31
1557637369,55,38
1557639376,73,39
1557641302,169,36
1557643227,2168,35
1557645143,1999,46
1557647092,2238,30
1557649008,1951,41
1557651173,2243,36
1557653067,24,17
1557655017,27,24
1557656942,22,30
1557658933,22,22
1557660748,30,25
1557662722,33,24
1557664602,31,19
1557666512,534,31
1557668450,339,20
1557670359,588,51
1557672267,1686,24
1557674468,496,23
1557676395,15,13
1557678299,17,23
1557680194,21,14
1557682124,25,16
1557684092,15,18
1557686008,31,24
1557687941,43,20
1557690077,33,22
1557692234,24,54
1557694129,37,37
1557696070,28,22
1557697947,22,16
1557699865,24,29
1557702978,34,41
1557704922,22,20
1557706872,36,39
1557708770,21,29
1557710681,22,19
1557712618,24,13
1557714768,25,21
1557716789,24,23
1557718615,25,14
1557720520,27,16
1557722461,15,22
1557724386,32,49
1557726277,21,29
1557728213,33,507
1557730139,24,1627
1557732054,22,1522
1557733957,344,1724
1557735886,735,1544
1557737809,926,1384
1557739744,730,21
1557741751,453,16
1557743585,26,15
1557745540,13,21
1557747400,18,27
1557749324,20,17
1557751234,15,26
1557753173,24,784
1557755092,20,144
1557757021,21,34
1557758877,22,39
1557760857,20,28
1557762858,18,23
1557764686,21,14
1557766641,19,26
1557768551,18,19
1557770606,16,21
1557772609,26,34
1557774557,20,32
1557776425,21,445
1557778618,16,874
1557780508,13,46
1557782462,21,23
1557784345,12,22
1557786293,20,18
1557788212,21,33
1557790102,24,28
1557792110,24,16
1557793948,17,32
1557796137,24,22
1557798067,26,27
1557799983,16,17
1557801867,20,20
1557804072,26,31
1557805946,15,19
1557807872,21,20
1557809797,25,27
1557811740,24,23
1557813735,22,22
1557815569,16,20
1557817566,19,23
1557819650,21,25
1557821550,12,1731
1557823769,19,2168
1557825686,30,1683
1557827566,39,1407
1557829469,44,35
1557831429,48,37
1557833308,65,30
1557835299,51,31
1557837171,48,29
1557839144,42,45
1557841000,41,33
1557842935,38,39
1557845092,38,45
1557847015,50,43
1557848944,36,30
1557850850,43,34
1557852806,51,41
1557854668,43,32
1557856626,44,28
