DateTime,AddedIPs,RemovedIPs
1557629554,13,4
1557631491,8,4
1557633410,2,4
1557635317,7,6
1557637370,10,12
1557639377,5,5
1557641306,6,6
1557643228,8,8
1557645144,6,6
1557647093,10,4
1557649009,5,5
1557651174,6,8
1557653068,2,6
1557655018,4,5
1557656943,2,10
1557658934,4,8
1557660749,10,6
1557662723,4,6
1557664610,8,8
1557666513,2,5
1557668451,5,3
1557670360,7,4
1557672268,4,7
1557674469,6,9
1557676396,3,2
1557678300,6,9
1557680195,3,6
1557682125,3,8
1557684093,0,5
1557686009,9,10
1557687941,14,3
1557690078,10,7
1557692235,12,6
1557694131,5,9
1557696071,5,7
1557697963,8,0
1557699866,9,2
1557702979,8,13
1557704923,7,14
1557706874,4,26
1557708771,4,7
1557710682,5,4
1557712619,8,7
1557714769,4,9
1557716793,6,15
1557718617,4,2
1557720521,7,6
1557722478,7,6
1557724387,12,7
1557726278,10,6
1557728214,6,9
1557730140,6,6
1557732055,8,5
1557733958,6,11
1557735887,8,6
1557737812,4,5
1557739745,8,5
1557741756,5,1
1557743586,9,2
1557745541,3,7
1557747401,2,7
1557749325,9,5
1557751235,4,7
1557753174,5,2
1557755093,6,2
1557757022,4,6
1557758878,6,4
1557760858,6,7
1557762859,9,2
1557764687,7,4
1557766642,4,3
1557768553,4,3
1557770608,3,1
1557772612,8,12
1557774558,9,11
1557776426,10,9
1557778619,9,12
1557780509,5,4
1557782463,5,7
1557784346,5,7
1557786294,5,8
1557788213,6,8
1557790103,5,4
1557792116,4,4
1557793949,2,2
1557796138,5,8
1557798068,5,5
1557799991,6,5
1557801868,7,4
1557804073,5,6
1557805947,8,4
1557807873,6,9
1557809798,4,10
1557811741,7,9
1557813736,6,11
1557815570,1,4
1557817567,5,6
1557819651,7,10
1557821551,7,6
1557823771,4,7
1557825687,4,7
1557827573,3,3
1557829470,7,8
1557831430,3,6
1557833309,6,2
1557835300,10,8
1557837172,9,2
1557839145,11,4
1557841001,11,9
1557842936,8,5
1557845093,4,5
1557847015,13,6
1557848946,9,7
1557850851,4,7
1557852807,4,6
1557854668,6,5
1557856628,2,4
1557858533,6,6
1557860558,14,10
1557862397,11,9
1557864353,4,6
1557866243,5,6
1557868155,7,6
