DateTime,AddedIPs,RemovedIPs
1557629556,9,11
1557631493,28,9
1557633411,41,7
1557635318,48,8
1557637372,41,13
1557639379,37,12
1557641308,40,18
1557643230,44,3
1557645146,30,12
1557647094,34,7
1557649010,31,7
1557651176,7,7
1557653069,4,8
1557655020,3,2
1557656945,7,8
1557658936,6,6
1557660751,3,7
1557662726,9,5
1557664612,10,6
1557666514,8,5
1557668453,3,6
1557670361,5,10
1557672270,2,9
1557674471,3,7
1557676398,2,5
1557678302,0,4
1557680197,12,7
1557682127,8,9
1557684095,5,8
1557686010,10,7
1557687943,8,8
1557690080,9,9
1557692237,6,5
1557694133,5,10
1557696073,2,6
1557697965,5,7
1557699867,4,7
1557702981,10,12
1557704925,5,13
1557706876,3,14
1557708773,3,10
1557710684,1,12
1557712621,6,10
1557714771,5,10
1557716795,7,13
1557718619,3,15
1557720523,6,45
1557722480,5,38
1557724389,5,36
1557726280,11,37
1557728216,9,42
1557730142,6,50
1557732057,10,217
1557733960,81,226
1557735889,286,42
1557737815,10,2
1557739747,2,4
1557741759,15,5
1557743588,4,5
1557745543,3,8
1557747403,3,2
1557749329,7,15
1557751237,3,11
1557753176,6,7
1557755095,2,9
1557757024,3,6
1557758879,4,8
1557760860,7,6
1557762860,5,4
1557764689,7,4
1557766644,4,12
1557768555,8,8
1557770611,4,9
1557772613,10,9
1557774559,8,9
1557776428,3,9
1557778620,6,9
1557780511,8,5
1557782465,5,4
1557784347,13,5
1557786296,4,5
1557788215,4,9
1557790105,11,5
1557792122,7,7
1557793951,5,1
1557796140,4,3
1557798070,8,5
1557799993,6,4
1557801870,3,6
1557804076,5,8
1557805949,7,6
1557807875,8,4
1557809800,3,4
1557811743,6,8
1557813738,6,6
1557815572,4,5
1557817569,67,4
1557819654,6,8
1557821553,10,2
1557823773,9,8
1557825689,6,2
1557827575,9,4
1557829472,4,9
1557831432,11,7
1557833311,4,3
1557835302,8,8
1557837174,5,3
1557839148,4,4
1557841003,3,4
1557842938,7,5
1557845095,7,5
1557847017,13,5
1557848948,9,7
1557850853,3,8
1557852813,6,3
1557854670,6,7
1557856630,7,5
1557858535,11,6
1557860560,11,6
1557862398,6,5
1557864356,8,7
1557866245,8,3
1557868157,11,1
1557870048,5,7
1557871978,5,9
1557873909,11,0
1557875844,9,7
1557877752,13,5
1557879668,12,4
1557881609,12,4
1557883484,8,4
1557885412,10,8
1557887325,7,4
1557889403,8,10
1557891408,4,5
1557893605,10,9
1557895510,5,6
1557897441,14,9
1557899327,9,3
1557901284,5,4
1557903183,4,6
1557905120,7,36
1557906989,40,68
1557908922,7,8
1557910962,6,5
1557912981,12,5
1557915152,7,9
1557917064,8,4
1557919006,8,7
1557920937,7,6
1557922847,3,5
1557924765,4,4
1557926670,4,7
1557928579,7,6
1557930523,10,9
1557932551,7,9
1557934613,6,16
1557936494,8,3
1557938416,5,4
1557940334,5,8
1557942281,6,11
1557944182,1,8
1557946120,8,8
1557948011,6,10
1557949972,7,9
1557951861,6,9
1557953808,6,5
1557955969,16,11
1557957859,8,10
1557959783,3,4
1557961699,5,12
1557963664,6,15
1557965567,3,10
1557967459,2,13
1557969412,3,8
1557971296,3,12
1557973216,2,9
1557975138,3,3
1557977064,2,5
1557978975,3,9
1557980919,6,9
