DateTime,Entries,UniqueIPs
1557420269,796,796
1557421811,792,792
1557425773,785,785
1557427987,774,774
1557429554,766,766
1557432065,760,760
1557435841,755,755
1557437843,743,743
1557439280,742,742
1557442351,730,730
1557444103,731,731
1557447454,722,722
1557449074,715,715
1557451237,713,713
1557452601,712,712
1557454251,709,709
1557455661,708,708
1557460406,701,701
1557461691,702,702
1557463095,703,703
1557464359,705,705
1557465935,703,703
1557468981,697,697
1557470764,694,694
1557472121,691,691
1557476210,693,693
1557477590,690,690
1557478775,688,688
1557480061,687,687
1557481397,687,687
1557484155,289,289
1557485529,142,142
1557487720,145,145
1557490658,149,149
1557492313,157,157
1557494158,156,156
1557497238,150,150
1557498548,147,147
1557499918,148,148
1557501834,149,149
1557503264,150,150
1557506009,154,154
1557509803,159,159
1557511814,162,162
1557513363,147,147
1557515099,149,149
1557516672,149,149
1557519889,150,150
1557521509,158,158
1557523315,160,160
1557525115,158,158
1557526462,157,157
1557530823,155,155
1557533575,146,146
1557535586,143,143
1557537264,139,139
1557540826,141,141
1557541991,145,145
1557545202,146,146
1557546853,145,145
1557548242,144,144
1557551262,145,145
1557556403,148,148
1557557548,149,149
1557562828,151,151
1557565654,155,155
1557568430,156,156
1557570177,156,156
1557572354,158,158
1557574062,160,160
1557576529,162,162
1557582257,160,160
1557586004,160,160
1557587832,162,162
1557589412,159,159
1557591258,151,151
1557593122,150,150
1557597706,153,153
1557602206,153,153
1557605751,150,150
1557607654,146,146
1557609762,147,147
1557611680,148,148
1557614761,154,154
1557616279,155,155
1557626321,161,161
1557628622,166,166
1557630356,166,166
1557632252,167,167
1557636022,169,169
1557640610,173,173
1557647841,154,154
1557649332,150,150
1557651686,158,158
1557652879,158,158
1557654555,155,155
1557655900,160,160
1557657385,162,162
1557659159,159,159
1557660447,164,164
1557662359,161,161
1557664659,160,160
1557666843,157,157
1557668695,158,158
1557671771,149,149
1557673819,148,148
1557675973,150,150
1557677892,158,158
1557679103,159,159
1557681593,153,153
1557687868,149,149
1557689424,155,155
1557690664,153,153
1557691785,147,147
1557698660,149,149
1557701090,150,150
1557707375,151,151
1557711020,157,157
1557714951,162,162
1557716615,163,163
1557718609,162,162
1557720279,162,162
1557722206,163,163
1557727282,166,166
1557728755,168,168
1557730769,169,169
1557732060,172,172
1557735669,174,174
1557738628,179,179
1557740210,182,182
1557742280,181,181
1557743845,179,179
1557746096,178,178
1557747366,181,181
1557748507,179,179
1557750234,183,183
1557751686,185,185
1557753203,186,186
1557754634,184,184
1557755835,178,178
1557757615,174,174
1557761548,174,174
1557762949,171,171
1557765066,175,175
1557766612,170,170
1557772709,176,176
1557774040,177,177
1557776805,174,174
1557778989,175,175
1557782557,176,176
1557785194,172,172
1557787491,166,166
1557790312,166,166
1557792563,165,165
1557794913,162,162
1557797072,162,162
1557802006,153,153
1557803752,155,155
1557805088,154,154
1557807000,154,154
1557808604,153,153
1557809929,152,152
1557813550,149,149
1557814727,656,656
1557815939,1554,1554
1557817446,1741,1741
1557820163,1637,1637
1557821402,1610,1610
1557823016,1569,1569
1557824823,1530,1530
1557826309,1502,1502
1557827754,1483,1483
1557829100,1453,1453
1557830236,1428,1428
1557832228,1400,1400
1557833902,1371,1371
1557836110,1349,1349
1557837528,1339,1339
1557840461,1305,1305
1557841827,1289,1289
1557844622,1267,1267
1557846142,1254,1254
1557847593,1234,1234
1557849124,1220,1220
1557850588,1208,1208
1557851875,1187,1187
1557856427,1141,1141
1557857987,1125,1125
1557860900,1092,1092
1557863178,1076,1076
1557867790,1043,1043
1557868994,1038,1038
1557870215,1035,1035
1557873845,1016,1016
1557875525,1010,1010
1557879099,988,988
1557884629,941,941
1557886435,935,935
1557888667,939,939
1557892553,925,925
1557893993,920,920
1557895697,916,916
1557897433,910,910
1557899049,906,906
1557901384,904,904
1557904490,892,892
1557905932,885,885
1557907475,878,878
1557909753,870,870
1557911183,866,866
1557913500,857,857
1557916421,854,854
1557918443,853,853
1557919742,853,853
1557920895,849,849
1557922117,843,843
1557924258,837,837
1557927829,817,817
1557930180,798,798
1557931603,795,795
1557936282,782,782
1557938745,779,779
