DateTime,AddedIPs,RemovedIPs
1557969877,19,44
1557970339,40,86
1557973938,31,36
1557974166,30,54
1557975855,20,12
1557977313,275,1656
1557977771,25,14
1557979693,16,19
1557981637,24,23
1557982801,270,0
1557983531,25,6
1557985454,21,18
1557987405,20,21
1557989295,24,12
1557990510,289,845
1557991475,12,17
1557993393,18,19
1557995314,16,21
1557997237,8,14
1557998923,1203,0
1557999379,9,5
1558001562,10,8
1558003479,917,12
1558004402,363,0
1558007317,28,33
1558007780,882,0
1558009251,23,11
1558011130,21,18
1558012131,1198,0
1558013052,11,13
1558014993,15,11
1558016445,799,0
1558016924,16,23
1558018821,20,16
1558020434,1106,0
1558021004,14,20
1558023408,168,13
1558024820,795,0
1558025319,10,11
1558029130,17,18
1558029602,310,0
1558031067,18,12
1558032995,12,15
1558034914,20,7
1558035134,815,0
1558036802,266,0
1558038759,816,23
1558040656,12,17
1558042357,868,0
1558042572,14,9
1558044522,122,12
1558045946,880,0
1558046442,9,17
1558048360,21,25
1558050250,15,16
1558050969,45,95
1558051725,873,0
1558052179,97,3710
1558054335,17,19
1558054831,42,0
1558055702,118,0
1558056285,812,0
1558058168,18,34
1558058660,27,0
1558059301,109,0
1558060092,23,0
1558061767,816,0
1558062023,21,21
1558062901,130,0
1558065648,848,0
1558066105,21,53
1558066502,117,0
1558068993,740,0
1558069961,26,40
1558070102,118,0
1558071876,14,18
1558073084,797,0
1558073795,159,0
1558075695,14,15
1558077405,953,0
1558077862,8,16
1558079772,23,14
1558080981,1011,0
1558081701,9,11
1558083628,16,12
1558083893,747,0
1558084502,150,0
1558085542,4,14
1558087476,7,10
1558088101,160,0
1558089402,14,6
1558091084,774,1587
1558091551,12,15
1558093480,86,0
1558093502,154,0
1558095372,16,17
1558097102,143,0
1558099210,11,39
1558100702,119,0
1558101160,791,1621
1558103053,15,10
1558104302,140,0
1558104978,17,12
1558106916,784,1594
1558107902,122,0
1558111238,798,781
1558111501,141,0
1558113738,14,10
1558115550,14,14
1558116033,775,0
1558117452,23,0
1558118702,277,0
1558119370,9,17
1558119670,716,0
1558121307,15,11
1558123236,761,788
1558125158,19,11
1558125902,279,0
1558126591,752,789
1558127178,8,16
1558129233,16,12
1558131136,17,12
1558134403,338,12
1558136409,66,19
1558138360,18,12
1558139077,785,2274
1558140252,56,54
1558141097,800,0
1558142173,6,11
1558144118,21,0
1558147570,1041,4097
1558148176,47,96
1558150095,29,19
1558151797,930,798
1558152264,184,0
1558154416,17,21
1558155602,174,0
1558156118,772,1582
1558156582,21,21
1558158519,13,12
1558159202,164,0
1558160433,13,17
1558160912,815,794
1558162541,9,13
1558162802,188,0
1558164028,773,789
1558164487,15,5
1558166431,13,15
1558167609,921,843
1558168337,9,10
1558170279,14,19
1558171460,740,750
1558172170,10,6
1558173602,325,0
1558175552,804,0
1558176012,14,20
1558177939,9,0
1558179159,752,774
1558179871,16,10
1558180802,289,0
1558181773,18,25
1558182520,754,0
1558183691,12,0
1558185613,15,9
1558186119,734,0
1558187550,19,12
1558188002,237,1
1558189452,7,0
1558189715,730,759
1558191366,7,11
1558193291,14,15
1558194513,781,738
1558195111,11,20
1558195202,233,0
1558197134,10,0
1558199056,13,13
1558200992,10,12
1558201708,700,764
1558203301,305,0
1558204816,10,29
1558205071,705,763
1558206732,12,9
1558206902,122,0
1558208674,683,708
1558210573,8,4
1558212271,758,752
1558212736,11,11
1558214676,234,5
1558216574,15,11
1558217565,751,764
1558217702,95,0
1558218491,8,11
1558220440,10,0
1558221372,50,45
1558222361,7,15
1558223072,701,0
1558224261,12,14
1558224902,176,3237
1558226172,13,14
1558228116,12,15
1558229052,41,92
1558230035,16,11
1558230751,807,1486
1558231933,13,19
1558232883,133,0
1558233869,15,0
1558234590,730,824
1558235773,14,13
1558237691,242,24
1558239608,20,7
1558240603,712,805
1558241552,7,11
1558243454,162,19
1558243954,786,794
1558245392,10,12
1558247295,178,13
1558247401,130,0
1558248276,816,791
1558249227,13,8
1558251168,859,780
1558253077,14,11
1558254251,720,779
1558254602,111,0
1558254971,6,7
1558257139,4,20
1558258119,855,718
1558258201,111,0
1558259056,6,8
1558260991,8,0
1558261724,776,0
1558261802,136,0
1558262909,5,13
1558264834,7,9
1558265402,130,0
1558266272,819,1509
1558266739,9,16
1558268655,18,16
1558269002,109,0
1558270593,5,6
1558272494,16,17
1558274186,792,1486
1558274443,17,10
1558276358,13,12
1558278259,260,11
1558279470,833,729
1558280191,12,10
1558282092,13,9
1558283540,708,774
1558284040,215,13
1558285941,17,10
1558287857,21,6
1558289796,11,0
1558290602,199,0
1558291704,14,6
1558293611,17,11
1558295574,16,13
1558297454,9,11
1558297802,205,0
1558299370,12,10
1558301316,14,5
1558303239,17,8
1558305159,7,6
1558307057,236,9
1558308972,14,6
1558309934,50,101
1558310657,784,4302
1558313074,100,17
1558313767,41,0
1558314978,19,12
1558315802,168,2941
1558316897,13,21
1558318122,794,826
1558318832,18,10
1558321693,23,45
1558322896,789,763
1558324573,148,45
1558326494,9,21
1558326602,251,0
1558328441,10,12
1558329138,770,739
1558330356,12,19
1558332274,14,12
1558333464,777,811
1558334173,178,7
1558336115,14,18
1558336831,805,836
1558338013,16,9
1558338302,384,0
1558339935,13,18
1558340427,726,722
1558341874,13,6
1558341902,187,0
1558343782,12,3
1558344996,773,1581
1558345715,180,6
1558347609,16,6
1558347874,810,0
1558349102,157,0
1558351452,8,11
1558351961,783,789
1558353375,14,7
1558355319,11,17
1558356302,331,0
1558357235,12,5
1558359168,16,12
1558361059,16,12
1558362975,14,12
1558363501,292,0
1558364917,5,9
1558366817,16,10
1558368746,15,12
1558370702,235,0
1558372597,10,30
1558376430,11,30
1558378355,142,14
1558378861,810,3237
