DateTime,AddedIPs,RemovedIPs
1558256576,3,1
1558258561,59,0
1558258922,2,0
1558260122,1,0
1558260722,122,39
1558261203,0,91
1558261322,7,0
1558261922,1,0
1558262642,79,0
1558263122,3,0
1558263722,5,0
1558263776,0,1
1558264322,1,0
1558264922,5,0
1558265523,1,0
1558266122,1,0
1558266722,68,12
1558266963,0,118
1558267322,6,0
1558267733,1076,286
1558268522,5,0
1558269723,3,0
1558270563,92,0
1558270922,1,0
1558270977,1,0
1558271763,0,66
1558272122,2,0
1558273323,1,0
1558274411,90,0
1558274523,1,0
1558275723,19,0
1558276322,84,12
1558276922,5,0
1558277525,0,103
1558278123,5,0
1558278722,1,3
1558279322,3,0
1558280162,78,0
1558281777,12,1
1558282922,1,0
1558283283,0,73
1558284122,6,1
1558284722,1,0
1558285376,5,0
1558285923,160,0
1558286522,7,0
1558287123,1,130
1558287723,4,0
1558288976,1,1
1558290123,1,0
1558290722,1,0
1558291322,30,0
1558291682,82,0
1558292587,0,1
1558292884,0,76
1558293122,2,0
1558293723,3,0
1558294322,1,0
1558294923,5,0
1558295522,88,0
1558296123,1,0
1558296177,1,3
1558296723,4,96
1558299122,5,0
1558299363,83,0
1558299779,0,1
1558300322,9,0
1558300565,0,98
1558301282,84,0
1558302122,6,0
1558303377,2,3
1558303923,1,0
1558305122,65,15
1558305722,1,0
1558306322,0,202
1558307042,95,0
1558308722,1,0
1558309322,3,0
1558309922,3,0
1558310524,4,0
1558311122,1,0
1558311722,1,0
1558312322,1,0
1558313043,37,18
1558314122,3,0
1558314964,0,166
1558315322,4,0
1558316523,1,0
1558316882,71,0
1558317778,18,0
1558318323,3,0
1558318802,66,6
1558318923,6,0
1558320122,3,0
1558320723,3,173
1558321377,12,1
1558321922,2,0
1558322523,5,0
1558323722,8,0
1558324563,97,0
1558324977,2,1
1558326122,1,0
1558326485,0,106
1558327323,9,1
1558328412,77,0
1558328577,3,1
1558329722,7,0
1558330922,19,0
1558332243,105,160
1558333322,3,2
1558334162,90,0
1558334522,1,0
1558335777,0,2
1558336322,1,0
1558336922,3,0
1558338003,69,20
1558338122,1,0
1558338722,5,0
1558339323,1,0
1558339924,81,97
1558340522,1,0
1558341122,2,0
1558341722,4,0
1558342922,4,0
1558343523,2,4
1558343763,0,81
1558344722,5,0
1558345322,14,0
1558345682,145,0
1558346578,2,1
1558347602,0,145
1558347723,3,0
1558348322,6,0
1558348922,3,0
1558349521,140,0
1558350178,2,1
1558351444,3,100
1558352522,3,0
1558353122,1,0
1558353363,74,0
1558353778,1,1
1558354863,1068,223
1558354923,1,0
1558356122,1,0
1558357221,70,118
1558357378,4,4
1558358522,5,0
1558359122,68,0
1558359722,1,0
