DateTime,AddedIPs,RemovedIPs
1558293333,5,8
1558293611,19,9
1558294053,3,7
1558294773,3,11
1558295574,26,14
1558296213,6,10
1558296932,10,6
1558297454,7,13
1558297652,1,6
1558298372,4,8
1558299093,7,6
1558299370,9,5
1558299813,6,10
1558300532,5,7
1558301316,26,26
1558301973,4,8
1558302969,6,3
1558303239,12,13
1558303653,13,24
1558304372,3,4
1558305159,21,13
1558305813,4,6
1558306532,2,4
1558307057,7,10
1558307254,2,11
1558307974,8,8
1558308692,8,4
1558308972,18,10
1558309413,6,9
1558310133,9,7
1558311573,8,8
1558312292,6,7
1558313074,17,26
1558313733,287,223
1558314452,8,7
1558314978,17,0
1558315173,12,1
1558315893,10,5
1558316612,4,3
1558316897,12,0
1558317333,14,8
1558317629,1,2
1558318053,10,7
1558318832,17,17
1558319493,4,7
1558320212,6,10
1558322612,19,114
1558323332,3,5
1558324052,11,5
1558324573,22,17
1558324833,6,2
1558325492,3,5
1558326214,7,6
1558326494,8,6
1558326933,4,7
1558327653,11,10
1558328441,10,0
1558329574,123,15
1558330356,17,8
1558331013,7,6
1558331732,5,2
1558332274,9,22
1558332452,5,3
1558333173,3,7
1558333892,6,5
1558334173,13,7
1558334612,7,3
1558335333,3,7
1558336115,25,19
1558336773,9,8
1558337493,3,1
1558338013,10,11
1558338212,7,6
1558338933,9,14
1558339653,3,3
1558339935,12,13
1558340373,5,7
1558341093,6,7
1558341874,15,21
1558342533,1,12
1558343492,7,5
1558343782,10,7
1558344212,3,14
1558344932,7,3
1558345715,11,17
1558346373,7,5
1558346652,1,0
1558346892,3,2
1558347093,3,5
1558347609,9,3
1558347814,5,5
1558348532,6,10
1558349254,8,9
1558350453,11,9
1558351173,8,5
1558351452,9,12
1558351893,8,4
1558353092,12,15
1558353375,10,8
1558354293,13,14
1558355319,6,6
1558355733,12,15
1558356693,5,9
1558357235,8,7
1558357654,9,25
1558358372,8,26
1558359168,22,11
1558359814,14,20
1558360533,6,17
1558361059,13,9
1558361253,5,6
1558361528,0,11
1558362693,15,36
1558362975,13,12
1558363413,5,8
1558363929,12,22
1558364132,7,19
1558364917,10,43
1558365573,9,10
1558366293,5,11
1558366817,13,8
1558367013,5,6
1558367732,6,18
1558368453,8,6
1558368746,13,10
1558369173,10,24
1558371813,25,39
1558372597,13,32
1558373253,3,7
1558373973,6,8
1558374693,1,7
1558375413,6,59
1558376187,7,12
1558376430,14,37
1558376853,58,8
1558377573,5,10
1558378355,24,21
1558379253,3,15
1558379972,8,2
1558380258,15,9
1558380694,5,7
1558381414,8,3
1558382195,25,13
1558382853,3,7
1558384114,22,19
1558384773,3,4
1558385493,7,6
1558386036,12,0
1558387173,18,13
1558387955,19,21
1558388612,12,2
1558389333,12,8
1558389860,11,12
1558390359,1,0
1558390829,8,20
1558391493,3,10
1558391773,11,6
1558392213,4,3
1558392932,12,2
1558393723,9,6
1558394372,7,7
1558395092,5,6
1558395614,9,10
1558395813,5,5
1558396532,10,13
1558397253,7,4
1558397535,14,8
1558397973,7,3
1558398693,9,8
1558399476,4,8
1558399893,222,966
1558400612,4,5
1558401400,23,18
1558402052,8,10
1558402772,6,10
1558403295,15,6
1558403492,4,9
1558404213,6,8
1558404933,7,10
1558405213,5,4
1558405449,2,1
1558405653,7,6
1558406372,3,7
1558407154,16,17
1558407813,7,5
1558408533,8,11
1558409057,17,10
1558409492,15,6
1558410213,41,10
1558410994,22,21
1558411652,2,7
1558412373,7,6
1558412896,14,10
1558413093,8,6
1558413812,9,6
1558414533,4,11
1558414826,1,6
1558415733,10,109
1558416454,6,6
1558416737,11,9
1558417173,8,10
1558417892,3,2
1558418674,14,21
1558419333,8,7
1558420109,8,11
1558420575,10,12
1558420773,6,8
1558421492,6,2
1558422214,6,11
1558422496,12,13
1558422933,5,21
1558423653,10,2
1558424438,12,16
1558425094,8,9
1558426356,18,25
1558427013,7,8
1558427733,3,6
1558428255,6,13
1558428693,10,8
1558429413,7,5
1558430193,12,14
1558430853,2,4
1558431573,5,7
1558432097,1,7
1558432293,2,7
1558433252,18,9
1558434030,7,12
1558434752,93,12
1558435413,6,6
1558435943,14,10
1558436132,4,7
1558436852,8,6
1558437573,5,8
1558437865,12,9
1558438293,11,8
1558439012,7,2
1558439790,27,17
1558440453,6,5
1558441711,21,32
1558442372,6,7
1558443093,5,5
1558443626,11,0
1558444052,7,7
1558444772,3,9
1558445561,14,8
1558445974,5,19
1558446692,7,9
1558447483,21,23
1558448134,7,6
1558449392,19,24
1558450054,2,8
1558451063,12,5
1558451314,24,15
1558451973,4,8
1558452693,8,6
1558453216,15,18
1558453893,16,8
1558454614,8,5
1558455138,12,13
1558455333,5,8
1558456052,8,9
1558456966,17,8
1558457972,11,17
1558458693,3,6
1558458971,20,15
1558459413,6,4
1558460133,5,6
1558460907,15,28
1558462053,15,9
1558462827,17,64
1558463493,8,14
1558464007,6,2
1558464212,7,5
1558464746,14,0
1558464933,7,13
1558465653,8,0
1558466372,11,8
1558466666,8,27
1558467092,11,9
1558467812,5,8
1558468584,16,27
1558469253,7,4
1558469973,2,4
1558470496,6,0
1558470692,10,7
1558471413,9,4
1558472133,8,8
1558472431,6,14
1558472853,6,12
1558473573,6,7
1558474352,24,15
1558475012,2,8
1558475734,10,13
1558476257,9,0
1558476453,3,2
1558477173,4,9
1558477692,3,0
1558477893,50,3
1558478171,11,9
1558480129,11,18
1558480533,26,26
1558481252,4,8
1558482034,20,12
1558482694,3,8
1558483962,9,14
1558484372,14,17
1558485092,7,4
1558485884,16,22
1558486533,958,297
1558487254,7,6
1558487785,19,13
1558488453,8,15
1558489173,5,7
1558489698,11,0
1558489893,8,5
1558490613,5,4
1558491333,5,8
1558491620,6,31
1558492053,7,6
1558492773,6,5
1558493558,26,15
1558494214,4,10
1558494728,3,3
1558494932,14,8
1558495461,9,0
1558495892,8,8
1558496612,7,40
1558497397,10,25
1558498052,4,2
1558498772,10,7
1558499298,14,11
1558499492,2,8
1558500213,7,10
1558500933,6,6
1558501236,8,0
1558502132,21,10
1558502853,9,5
1558503141,8,10
1558503573,1,8
1558504294,9,3
1558505083,22,18
1558505493,8,7
1558506213,8,5
1558506998,6,10
1558507412,10,8
1558508133,4,7
1558508916,23,21
1558509373,3,3
1558509573,11,5
1558510292,8,7
1558510818,11,0
1558511013,3,2
1558511733,9,8
1558512453,3,8
1558513172,5,5
1558513893,6,6
1558514675,16,34
1558515814,14,13
1558516601,18,18
1558517253,9,3
1558517972,56,6
1558518500,0,11
1558518693,4,2
1558519412,8,14
1558520132,11,6
1558520414,0,9
1558520853,6,6
1558521366,4,0
1558521573,9,85
1558522355,8,19
1558523013,6,6
1558523733,3,6
1558524265,5,5
1558524694,9,15
1558525413,7,7
1558526197,12,13
1558527094,20,15
1558527813,4,6
1558528092,8,0
1558528533,6,3
1558529253,8,5
1558530055,14,15791
1558530694,15788,1
1558531413,4,3
1558531937,8,15
1558532132,111,4
1558532852,39,4
1558534122,9,20
1558534533,10,20
1558535253,7,3
1558536035,20,15
1558536693,4,4
1558537412,10,5
1558538553,19,25
1558539244,1,3
1558540368,35,46
1558541013,11,9
1558542338,25,26
1558542933,7,6
1558544508,12,11
1558544852,18,14
1558546052,9,10
1558546343,11,10
1558546774,9,7
1558547492,9,5
1558548822,14,8
1558549173,20,17
1558552831,45,62
1558553492,3,14
1558553767,2,1
1558554213,7,8
1558554729,9,17
1558554932,9,4
1558555653,4,9
1558556372,7,7
1558556648,14,7
1558557092,5,11
1558558293,16,15
1558558567,15,10
1558559012,8,7
1558559973,5,9
1558560504,8,6
1558560693,5,9
1558561412,6,4
1558562132,10,9
1558562424,15,4
1558562852,8,3
1558563573,8,2
1558564359,22,47
1558565067,8,7
1558565733,4,4
1558566254,9,6
1558566693,21,12
1558567413,11,8
1558568190,29,15
1558568405,2,4
1558568852,4,4
1558569633,4,8
1558570105,12,5
1558570534,9,6
1558571253,3,5
1558572029,12,14
1558572692,6,3
1558573413,304,25
1558573931,8,8
1558574132,8,5
1558574853,4,6
1558575573,7,7
1558575852,6,8
1558576293,7,5
1558577012,6,7
1558577788,15,21
1558578694,10,11
1558579412,6,7
1558579691,7,7
1558580132,4,5
1558580854,5,7
1558581643,17,16
1558582292,2,3
1558583070,5,13
1558583526,6,15
1558583733,11,4
1558584452,6,3
1558585174,6,8
1558585450,17,7
1558585893,9,5
1558586613,9,6
1558587388,47,20
1558588054,17,3
1558588773,107,22
1558589285,9,9
1558589493,5,8
1558590213,9,4
1558591480,17,20
1558592133,9,4
1558592852,7,8
1558593378,11,10
1558593574,7,7
1558594293,9,5
1558595013,5,6
1558595540,12,7
1558595733,5,6
1558597173,11,12
1558597448,7,11
1558597689,2,1
1558597892,9,8
1558598613,2986,3
1558599393,3956,4
1558600053,10,10
1558600774,7,5
1558601288,6,8
1558601493,11,8
1558602933,16,21
1558603205,4,11
1558603654,9,8
1558604373,9,52
1558605150,15,11
1558605814,5,6
1558606534,5,10
1558607048,4,4
