DateTime,AddedIPs,RemovedIPs
1558161124,11,5
1558163522,1,28
1558164722,2,4
1558165922,1,3
1558167723,2,15
1558168323,2,9
1558168922,5,11
1558169523,1,0
1558170122,13,0
1558171322,1,4
1558172523,4,6
1558173722,1,6
1558174922,3,3
1558176122,0,3
1558176722,4,4
1558177322,13,0
1558178522,1,18
1558179122,10,0
1558179723,7,0
1558180922,0,25
1558182122,7,3
1558182723,1,0
1558183323,4,0
1558183922,9,1
1558185123,1,6
1558185722,1,0
1558186323,1,0
1558186922,8,7
1558187522,1,0
1558188123,5,0
1558188723,7,5
1558189323,3,2
1558189922,5,0
1558190522,3,0
1558191122,1,3
1558191724,21,0
1558192922,2,96
1558193523,1,0
1558194122,0,4
1558194723,3,0
1558195322,2,0
1558196522,2,5
1558197722,1,4
1558198923,0,23
1558200122,1,28
1558201322,5,7
1558202522,1,0
1558203122,4,10
1558203722,2,4
1558204923,1,7
1558206123,2,0
1558207322,6,9
1558208523,41,6
1558209722,9,11
1558210323,1,4
1558210923,2,5
1558212122,2,29
1558212723,10,0
1558213323,2,4
1558213922,0,1
1558214522,5,4
1558215123,2,3
1558215723,3,0
1558216922,3,27
1558217522,2,0
1558218122,1,0
1558218722,2,5
1558219322,1,5
1558219922,2,0
1558220522,2,9
1558221723,2,8
1558222322,1,0
1558222923,1,5
1558223522,1,0
1558224124,1,0
1558225322,0,8
1558226523,0,2
1558227123,3,0
1558227723,4,3
1558228323,12,2
1558228923,4,7
1558230123,3,0
1558230722,2,70
1558231323,3,1
1558232523,2,5
1558233722,0,7
1558234322,29,0
1558234923,0,9
1558236123,2,0
1558237322,4,4
1558237923,1,5
1558238522,8,13
1558239722,3,0
1558240323,0,9
1558240922,0,3
1558242122,1,6
1558243323,3,3
1558244522,2,3
1558245722,8,6
1558246922,1,0
1558248123,2,9
1558249322,4,0
1558250522,3,6
1558251722,2,0
1558252322,0,2
1558252922,32,0
1558253522,0,6
1558254122,1,6
1558254722,1,7
1558255322,1,0
1558255923,4,7
1558256523,5,0
1558257722,0,5
1558258322,6,1
1558258922,1,5
1558259522,2,2
1558260122,1,0
1558261322,6,7
1558261922,0,7
1558263122,4,6
1558263722,9,0
1558264322,3,5
1558264922,7,6
1558265523,2,0
1558266122,1,0
1558267322,7,9
1558267923,1,0
1558268522,6,8
1558269723,0,12
1558270922,0,4
1558272122,1,3
1558273323,1,7
1558274523,1,0
1558275723,27,3
1558276322,2,0
1558276922,8,3
1558278123,3,3
1558278722,2,6
1558279322,2,15
1558280522,1,0
1558281123,0,43
1558281723,1,50
1558282922,1,1
1558284122,3,2
1558284722,2,0
1558285322,7,4
1558285922,5,3
1558286522,6,2
1558287122,1,0
1558287723,5,7
1558288922,0,5
1558289522,1,0
1558290123,2,7
1558290722,2,1
1558291322,32,0
1558292523,2,34
1558293723,3,1
1558294322,1,5
1558294923,1,3
1558296123,0,6
1558296723,5,2
1558297322,1,2
1558298522,0,7
1558299122,6,0
1558299723,0,2
1558300922,0,8
1558302122,7,0
1558302723,0,5
1558303325,1,2
