DateTime,AddedIPs,RemovedIPs
1558120923,5,35
1558122123,54,0
1558123323,33,24
1558123923,1,0
1558125722,6,2
1558126322,8,16
1558126922,2,0
1558128722,34,84
1558129323,25,0
1558130523,55,46
1558131723,22,13
1558132322,4,0
1558135322,21,18
1558137724,52,69
1558141922,70,13
1558143722,48,9
1558145522,16,10
1558146722,0,65
1558149122,4,74
1558150322,3,18
1558151522,5,12
1558152723,7,0
1558153922,6,2
1558155123,8,24
1558156322,5,17
1558158122,45,45
1558159322,41,21
1558160522,34,16
1558161722,13,11
1558163522,32,32
1558164722,13,28
1558165922,55,3
1558167722,39,40
1558168322,22,50
1558168922,16,30
1558170122,16,0
1558171322,11,28
1558172523,42,30
1558173722,53,30
1558174922,12,5
1558176122,8,3
1558177322,15,0
1558178522,4,26
1558179722,4,0
1558180922,3,20
1558181523,1,0
1558182122,1,0
1558182722,2,18
1558183323,11,0
1558183922,23,49
1558184522,22,0
1558185722,56,69
1558186322,8,12
1558186922,27,0
1558188122,24,19
1558188722,11,6
1558189323,8,5
1558189922,2,10
1558190522,0,32
1558191724,57,0
1558192922,53,67
1558194122,32,18
1558195322,48,56
1558196522,19,86
1558197722,38,0
1558198922,18,21
1558200122,69,44
1558201322,21,54
1558202522,3,30
1558203722,3,5
1558204922,49,61
1558205522,2,0
1558206123,15,0
1558207322,24,20
1558208522,63,48
1558209722,13,27
1558210922,8,14
1558212121,5,15
1558213323,5,48
1558213922,46,0
1558214522,7,0
1558215723,40,17
1558216922,54,81
1558217522,38,0
1558218122,25,0
1558218722,9,10
1558219322,1,26
1558220522,3,0
1558221122,3,0
1558221722,7,0
1558222322,6,59
1558222923,5,0
1558223522,2,0
1558224123,39,0
1558225322,50,49
1558226523,40,0
1558227722,19,54
1558228323,2,0
1558230123,2,18
1558231322,6,0
1558232523,62,5
1558233722,68,0
1558234923,35,1
1558236122,37,0
1558237322,14,11
1558237923,5,0
1558238522,10,6
1558239722,38,6
1558240323,27,0
1558240922,14,8
1558241522,2,0
1558242122,8,48
1558243322,51,0
1558243923,26,0
1558244522,28,33
1558245722,17,43
1558246922,10,14
1558248123,44,21
1558248722,15,0
1558249322,5,12
1558249922,1,0
1558250522,0,29
1558251722,2,0
1558252922,38,40
1558253522,17,29
1558254122,6,0
1558254722,2,0
1558255322,6,16
1558256522,60,27
1558257722,45,9
1558258322,29,28
1558258922,14,49
1558259522,23,0
1558260122,17,0
1558261322,39,19
1558261922,4,7
1558262522,8,0
1558263722,8,12
1558264922,9,9
1558265523,1,6
1558266122,5,0
1558267322,5,3
1558268522,4,4
1558269723,36,11
1558270921,53,27
1558272122,38,49
1558273323,24,60
1558274522,29,0
1558275722,15,14
1558276922,8,0
1558278123,25,85
1558278722,22,0
1558279321,26,0
1558280522,20,31
1558281722,48,67
1558282922,21,28
1558284122,29,0
1558284722,8,10
1558285322,3,32
1558285922,19,0
1558286522,38,26
1558287722,24,5
1558288922,5,3
1558290122,15,0
1558291322,36,47
1558292522,31,54
1558293122,16,0
1558293723,11,0
1558294922,36,47
1558296122,22,0
1558297322,6,6
1558298522,0,6
1558299723,2,5
1558300322,70,38
1558300921,16,20
1558302122,26,79
1558302723,32,0
1558303324,21,37
1558303923,4,23
1558304522,11,9
1558305722,6,3
1558306922,4,8
1558308122,7,23
1558309322,9,5
1558310523,36,34
1558311122,45,42
1558311722,40,0
1558312322,42,36
1558312923,19,0
1558314122,32,15
1558314722,3,2
1558315322,2,1
1558316522,0,3
1558317723,16,38
1558318322,4,0
1558318923,25,51
1558320122,52,0
1558321322,27,87
1558321922,19,0
1558322523,8,13
1558323722,19,2
1558324922,2,6
1558326122,6,28
1558326722,5,20
1558327323,32,14
1558327923,20,0
1558328522,18,66
1558329722,22,0
1558330922,37,80
1558332122,23,0
1558333322,24,39
1558334522,11,0
1558335722,44,16
1558336922,45,6
1558338122,11,39
1558338722,3,0
1558339323,3,0
1558339922,53,20
1558340522,14,16
1558341722,22,47
1558342922,28,57
1558343523,3,0
1558344123,58,35
1558345322,66,16
1558346523,12,84
1558347722,2,2
1558348922,5,7
1558350122,3,20
1558351322,3,0
1558352522,0,14
1558353122,1,0
1558353722,1,3
1558354923,6,23
1558356122,8,46
1558357322,44,39
1558358522,34,36
1558359722,23,0
1558360922,27,48
1558362122,10,7
1558362722,4,0
1558363322,6,0
1558364523,36,18
1558365722,48,27
1558366922,37,70
1558367522,38,0
1558368122,23,27
1558369322,21,38
1558370522,29,7
1558371722,6,6
1558372322,3,27
1558372922,39,22
1558374122,40,19
1558375322,1,9
1558376521,10,12
1558377723,43,75
1558378922,42,28
1558380123,32,59
1558381323,47,0
1558382522,26,34
1558383723,10,0
1558384323,1,0
1558384922,3,5
1558385522,2,0
1558386122,1,51
1558387322,48,82
1558388522,23,0
1558389722,52,38
1558390322,20,5
1558390922,13,4
1558391522,7,11
1558392122,3,4
1558393322,1,0
1558394522,2,5
1558395722,5,20
1558396923,2,81
1558398122,42,80
1558399322,40,44
1558399923,8,0
1558400522,3,0
1558401722,5,11
1558402922,5,27
1558404122,2,0
1558404722,3,14
1558405322,0,26
1558406522,66,98
1558407723,52,0
1558408322,20,25
1558408923,25,13
1558410122,48,32
1558411323,20,12
1558411922,3,0
1558412522,3,0
1558413722,1,19
1558414922,49,28
1558416123,45,76
1558416723,4,0
1558417322,16,0
1558418522,14,68
1558419722,39,0
1558420922,17,45
1558422123,25,0
1558423322,51,43
1558424522,27,22
1558425722,30,43
1558426323,6,18
1558426922,51,0
1558427522,20,33
1558428122,14,0
1558429322,45,30
1558430523,29,100
1558431722,49,0
1558432922,39,26
1558433522,4,0
1558434122,3,0
1558435323,0,4
1558436522,1,2
1558437722,2,2
1558438922,7,2
1558440122,6,6
1558441322,4,6
1558442522,13,16
1558443722,31,32
1558444322,32,39
1558444922,23,0
1558446122,25,67
1558447322,14,10
1558447922,2,0
1558448522,1,0
1558449723,4,7
1558450923,39,26
1558452122,32,49
1558453322,3,45
1558454522,46,57
1558455723,41,38
1558456922,15,52
1558458123,12,2
1558459323,62,24
1558460522,53,38
1558461722,20,0
1558462922,9,41
1558464122,49,55
1558465323,38,0
1558466522,34,50
1558467722,45,79
1558468322,7,0
1558468922,8,11
1558469522,8,0
1558470123,4,1
1558471322,12,4
1558472522,9,1
1558473123,6,51
1558473723,22,34
1558474922,23,55
1558476122,57,15
1558477322,11,14
1558479722,2,10
1558480322,3,0
1558480922,2,0
1558481522,2,4
1558482122,0,5
1558483323,70,53
1558483922,62,0
1558484522,46,0
1558485722,35,32
1558486922,14,15
1558488121,1,5
1558489322,5,0
1558489922,1,3
1558490522,5,2
1558491722,7,47
1558492922,36,0
1558494122,54,55
1558495322,30,100
1558496522,15,0
1558497722,10,21
1558498322,2,4
1558498922,3,2
1558500122,21,32
1558501322,42,36
1558502522,23,0
1558503722,32,20
1558504922,34,58
1558505522,12,0
1558506122,15,0
1558507323,19,16
1558507922,4,24
1558508522,28,41
1558509122,17,0
1558509722,9,0
1558510922,23,60
1558511522,9,0
1558512122,6,0
1558513321,17,79
1558514522,16,32
1558515122,18,52
1558515722,8,26
1558516322,3,0
1558516923,26,0
1558518122,38,86
1558518722,7,0
1558519323,2,0
1558520522,4,12
1558521722,2,0
1558522322,1,4
1558523523,0,3
1558524122,0,4
1558525322,10,0
1558525922,3,7
1558526522,0,3
1558527122,3,0
1558527722,5,0
1558528922,29,57
1558530121,46,0
1558530723,50,27
1558531322,25,63
1558532522,22,0
1558533722,12,11
1558534322,1,0
1558534922,8,4
1558536122,3,29
1558537323,58,0
1558537922,23,13
1558538522,25,8
1558539722,9,52
1558540922,11,0
1558541522,25,41
1558542122,14,12
1558542722,12,0
1558543322,9,15
1558544522,19,0
1558545123,18,44
1558545722,42,54
